ID_Lands,ColorType,AnnounceTH,CodeDeed,TypeCode,CodeProperty,SellPrice,Costestimate,CostestimateB,MarketPrice,PriceWA,LandR,LandG,LandWA,Land,Deed,RoadType,RoadWide,GroundLevel,GroundValue,MoreDetails,Latitude,Longitude,AsseStatus,ObservationPoint,Location,LProvince,LAmphur,LDistrict,LZipCode,ContactUo,ContactSo,ContactUt,ContactSt,ContactU,ContactS,Place,Blind,Neareducation,Cenmarket,Market,River,Mainroad,Insoi,Letc,WxD,LandAge,PPStatus,ImageEX,Owner,Created,UserType
l0575,พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง,ขายที่ดินจัดสรร ใกล้สนามบิน แปลที่ 11,l0575, , ,1032000,0,0,0,6000.0,0.0,0,172.0,21*34,น.ส.3ก.,คอนกรีต,8 เมตร,สูงกว่าถนน,0.0, ,19.955278,99.891194,ฝากขาย,สนามบินเชียงราย,บ้านดู่,เชียงราย,เมืองเชียงราย,บ้านดู่,57100,796859.0, ,796859, ,796859,นายหน้า, ,0,1,0,0,1,1,1, ,0,0,ยังไม่ขาย,https://landvist.xyz/images/Defult/Defult.png,79,1457-01-01 17:00:00,Short-Term
l0651,พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม,5B2MG0054 ขายที่ดิน พื้นที่ 409 ตารางวา ราคา ,l0651, ,5B2MG0054,4300000,5000000,4500000,4500000,9780.0,0.0,0,409.0,10*10,น.ส.2,ยางมะตอย, ,ต่ำกว่าถนน,0.3, ,19.955278,99.891194,ว่าง, , ,เชียงราย,เมืองเชียงราย,ริมกก,57100,796859.0, ,796859, ,796859,นายหน้า, ,0,0,0,0,0,1,0, ,0,3, ,https://landvist.xyz/images/img_1569593092388.jpg,39,1476-09-27 09:55:17,Long-Term
l0728,พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย,ที่ดินที่ดี,l0728, ,552,3700000,3500000,3500000,3900000,60000.0,0.0,0,50.0,5*10,น.ส.2,โคลน,2 เมตร,สูงกว่าถนน,0.1,-,16.7137548,98.5775522,ว่าง,-,444,ตาก,อุ้มผาง,อุ้มผาง,63170,127.0, ,127, ,127,นายหน้า, ,1,0,0,0,1,0,0, ,0,10,ยังไม่ขาย,https://landvist.xyz/images/img_1575376384891.jpg,59,1476-12-03 04:27:09,Long-Term
l0740,พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง,ที่ดิน แม่ข้าวต้ม แปลงB4,l0740, , ,2800000,0,0,0,7000.0,1.0,0,0.0,0,น.ส.3ก.,คอนกรีต,8 เมตร,สูงกว่าถนน,0.0, ,20.071794552468365,99.87636042543943,ฝากขาย,ตรงข้ามรร.แม่ข้าวต้ม,แม่ข้าวต้ม,เชียงราย,เมืองเชียงราย,แม่ข้าวต้ม,57100,794948.0, ,794948, ,794948,นายหน้า, ,1,1,0,1,0,0,0, ,0,10,ยังไม่ขาย,https://landvist.xyz/images/NewImg/img_1595845691812.jpg,79,1477-07-22 01:19:02,Short-Term
l0756,พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง,ขายที่ดินสวย ทำเลดี เนื้อที่ 1งาน ติดสนามบิน เหมาะสำหรับสร้างบ้าน,l0756, , ,1000000,0,0,0,10000.0,0.0,1,0.0,0,น.ส.3ก.,คอนกรีต,8 เมตร,สูงกว่าถนน,0.0, ,19.9634805082268,99.89528566943363,ฝากขาย,ใกล้สนามบินนานาชาติเชียงราย,เชียงราย,เชียงราย,เมืองเชียงราย,บ้านดู่,57100,796859.0, ,796859, ,796859,เจ้าของ, ,0,1,1,1,0,1,0,ใกล้สนามบิน ใกล้สถานที่ออกกำลังกาย,0,0,ยังไม่ขาย,https://landvist.xyz/images/Defult/Defult.png,79,1457-01-01 17:00:00,Short-Term
l0797,พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย,ขายที่ดินสวย 2 ไร่ใกล้ BTS สายสีเหลือง 40*80 ,l0797, , ,57000000,58200000,58600000,58500000,72319.202,2.0,0,2.0,40*80,น.ส.3,คอนกรีต,4 เมตร,ต่ำกว่าถนน,0.23,- สะดวก ทั้งแหล่งอาหาร โรงพยาบาล โรงเรียน เพราะใกล้อะไรบ้าง?,13.6484525,100.63388350000002,ว่าง,หน้าปากซอยเป็นร้านสุดยอดเนื้อตุ๋น,ซอยแบริ่ง 39 ถ.สุขุมวิท บางนา บางนา กรุงเทพมห,กรุงเทพมหานคร,เขตบางนา,บางนา,10260,104.0, ,127, ,127,นายหน้า, ,0,0,1,0,0,0,1, , ,6,ยังไม่ขาย,https://landvist.xyz/images/img_1575252315138.jpg,38,2019-12-02 02:19:18,Long-Term
l0858,พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง,เสนอขายที่ดินติดถนนสายเอเชีย จำนวน 22-2-18​ ไ,l0858, ,745,7500000,8000000,8000000,7000000,831.66999,22.0,2,18.0,180*200.4,น.ส.4จ.,ยางมะตอย,12 เมตร,ต่ำกว่าถนน,0.5,-,14.317125299999999,100.61262899999996,ว่าง,อยู่ฝั่งขาออกกรุงเทพ ระหว่างปากทางเข้า อยุธยา,-,พระนครศรีอยุธยา,บางปะอิน,บ้านกรด,13160,127.0, ,127, ,127,นายหน้า, ,0,0,0,0,0,1,0, , ,5,ยังไม่ขาย,https://landvist.xyz/images/Defult/Defult.png,59,1476-11-22 13:04:22,Long-Term
l0890,พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย,ขายที่ดินติดถนนใหญ่ ลำพูน-สันป่าตอง(ทางหลวง 1,l0890, ,147,790000,800000,800000,850000,3278.0083,0.0,2,41.0,67*14.38,น.ส.4จ.,ยางมะตอย,8 เมตร,ต่ำกว่าถนน,0.5,เป็นถนนเส้นหลักที่เชื่อมต่อระหว่างลำพูนไปสันป่าตอง,18.6311602,98.8987217,ว่าง,ห่างจากที่ว่าการอำเภอเมืองลำพูน 21 กม.หรือ 24,ลำพูน-สันป่าตอง(ทางหลวง 116) ,เชียงใหม่,สันป่าตอง,ท่าวังพร้าว,50120,127.0, ,127, ,127,นายหน้า, ,0,0,0,1,0,1,0, , ,5,ยังไม่ขาย,https://landvist.xyz/images/Defult/Defult.png,59,2019-11-22 11:03:29,Long-Term
l0893,พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม,ขายที่ดินเชียงราย หลายแปลง หลายพื้นที่ แบ่งขา,l0893, ,3803270,10000000,11000000,10500000,10000000,13.0,200.0,3,64.0,12*10,น.ส.2,โคลน, ,สูงกว่าถนน,0.5, ,19.982880899999998,99.8426237,ฝากขาย, , ,เชียงราย,เมืองเชียงราย,บ้านดู่,57100,127.0, ,127, ,127,เจ้าของ, ,0,0,0,0,0,0,1, , ,3, ,https://landvist.xyz/images/img_1569591816396.jpg,29,1476-09-27 10:16:39,Long-Term
l0964,พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง,ที่ดิน แม่ข้าวต้ม แปลงA3,l0964, , ,600000,0,0,0,6000.0,0.0,1,0.0,20*20,น.ส.3ก.,คอนกรีต,8 เมตร,สูงกว่าถนน,0.0, ,20.07157901021716,99.8763133100952,ฝากขาย,ตรงข้ามรร.แม่ข้าวต้ม,แม่ข้าวต้ม,เชียงราย,เมืองเชียงราย,แม่ข้าวต้ม,57100,794948.0, ,794948, ,794948,นายหน้า, ,1,1,0,1,0,0,0, , ,3,ยังไม่ขาย,https://landvist.xyz/images/NewImg/img_1595846109823.jpg,79,1477-07-22 02:04:55,Short-Term
l0969,พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย,ขายที่ดิน เนื้อที่ 53 ตรว. สุขุมวิท93,l0969, , ,3950000,0,3870000,0,74528.30189,0.0,0,53.0,10*21,น.ส.3ก.,คอนกรีต,8 เมตร,สูงกว่าถนน,0.0, ,13.700824800000003,100.6137867,ฝากขาย,"- ใกล้ เซเว่น - ใกล้ BTS อ่อนนุช, 4นาทีถึง BT",สุขุมวิท93,กรุงเทพมหานคร,เขตพระโขนง,*พระโขนง, ,794948.0, ,794948, ,794948,เจ้าของ, ,0,0,1,1,0,0,1, , ,0,ยังไม่ขาย,https://landvist.xyz/images/NewImg/img_1598963328785.jpg,79,1457-01-01 17:00:00,Short-Term
l1045,พื้นที่สีเม็ดมะปราง – ที่ดินประเภทคลังสินค้า,ที่ดิน,l1045, ,9854100,18500000,19600000,19700000,19800000,990.09901,20.0,120,200.0,10*10,น.ส.4จ.,โคลน,12 เมตร,สูงกว่าถนน,1.0, ,13.8255881,100.6787954,ว่าง,การคลัง,111/8,กรุงเทพมหานคร,เขตพระนคร,วังบูรพาภิรมย์,10200,127.0, ,127, ,127,เจ้าของ, ,1,1,0,0,0,0,0, , ,1998,ยังไม่ขาย,https://landvist.xyz/images/NewImg/img_1591176537209.jpg,60,1476-11-29 05:31:35,Long-Term
l1132,พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง,ที่ดิน แม่ข้าวต้ม แปลงA6,l1132, , ,2800000,0,0,0,7000.0,1.0,0,0.0,0,น.ส.3ก.,คอนกรีต,8 เมตร,สูงกว่าถนน,0.0, ,20.071541600951,99.87630531009523,ฝากขาย,ตรงข้ามรร.แม่ข้าวต้ม,แม่ข้าวต้ม,เชียงราย,เมืองเชียงราย,แม่ข้าวต้ม,57100,794948.0, ,794948, ,794948,นายหน้า, ,1,1,0,1,0,0,0, , ,1998,ยังไม่ขาย,https://landvist.xyz/images/NewImg/img_1595846384013.jpg,79,1477-07-22 01:52:50,Short-Term
l1187,พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย,ขายที่ดิน หัวหิน ติดหาด แปลงสุดท้าย 3-1-30 ไร่,l1187, ,322116136,279300000,279400000,279400000,279400000,99999.99999,3.0,1,30.0,100*140,น.ส.3,คอนกรีต,4 เมตร,ต่ำกว่าถนน,0.12,ขายที่ดิน หัวหิน ติดหาด 3-1-30 ไร่ หน้ากว้างติดหาด 20 เมตร ยาว 270 เมตร ทางไป เขาตะเกียบ เหมาะ พัฒนาเป็น โคงการ โรงแรม รีสอทร์ คอนโด วิวล่า,12.544807464146102,99.96604626616212,จำนอง, ,"หนองแก, หัวหิน, ประจวบคีรีขันธ์",ประจวบคีรีขันธ์,หัวหิน,หนองแก,77110,589139.0, ,589139, ,589139,เจ้าของ, ,1,1,1,1,1,1,1, , ,5,ยังไม่ขาย,https://landvist.xyz/images/NewImg/img_1591232205313.jpg,58,2001-05-01 07:00:00,Short-Term
l1198,พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง,ที่ดิน - หนองแขม กรุงเทพมหานคร,l1198, ,353354,1490000,1490000,1480000,1500000,24833.33333,0.0,0,60.0,12*20,น.ส.3,คอนกรีต,4 เมตร,สูงกว่าถนน,0.3,ที่ดิน 60 ตรว. ราคาถูก!! -เจ้าของโพสต์ขายเองไม่ผ่านนายหน้า -ขายที่ดินเปล่า แปลงสวย 60 ตร.ว.,13.7054329,100.3432355,ว่าง, ,"หนองแขม, กรุงเทพมหานคร",กรุงเทพมหานคร,เขตหนองแขม,หนองแขม,10160,127.0, ,127, ,127,เจ้าของ, ,0,0,0,0,0,0,1, , ,5,ยังไม่ขาย,https://landvist.xyz/images/img_1575964821281.jpg,38,2019-12-04 23:56:51,Short-Term
l1284,พื้นที่สีม่วง – ที่ดินประเภทอุตสาหกรรมและคลังสินค้า,ขายที่ดิน ชลบุรี ใกล้นิคมอุตสาหกรรม 11-0-29 ไ,l1284, ,314,21000000,25000000,25000000,20000000,4741.47663,11.0,0,29.0,79*318,น.ส.4จ.,โคลน,2 เมตร,ต่ำกว่าถนน,0.5,ที่ดินแปลงนี้อยู่ในขอบเขตรัศมีแนวเส้นทางวงแหวนที่ส ามารถเชื่อมต่อไปยังนิคมอุตสาหกรรมที่สำคัญต่างๆอย่า งมากมาย,13.462466099999999,101.14474930000006,ว่าง,ที่ดินผืนนี้อยู่ริมถนน ซึ่งกำลังจะทำเป็นคอนกร,1 พนัส-พานทอง,ชลบุรี,พนัสนิคม,หน้าพระธาตุ,20140,127.0, ,127, ,127,นายหน้า, ,0,0,0,0,1,0,1, , ,5,ยังไม่ขาย,https://landvist.xyz/images/Defult/Defult.png,59,2019-11-22 17:46:23,Short-Term
l1378,พื้นที่สีม่วง – ที่ดินประเภทอุตสาหกรรมและคลังสินค้า,ขายที่ดินอำเภอสำโรง(อุบล)ติดถนนใหญ่เมือง-สำโร,l1378, ,564,38750000,40000000,40000000,39000000,6191.08484,15.0,2,59.0,68*275,น.ส.2,ยางมะตอย,12 เมตร,ต่ำกว่าถนน,0.5,ขายที่ดินติดถนนใหญ่4เลน(2178) เมืองอุบล-สำโรง อยู่ในเขตโรงงานอุตสาหกรรม ข้างโรงเรียนบ้านบอน,13.462466099999999,101.14474930000006,ว่าง,ติดกับโรงเรียนบ้านบอน ห่างจากโรงพยาบาลสำโรงเพ,ถนนใหญ่(2178) เมืองอุบล-สำโรง ,อุบลราชธานี,สำโรง,โนนกาเล็น,34360,127.0, ,127, ,127,นายหน้า, ,0,1,0,0,0,1,0, , ,5,ยังไม่ขาย,https://landvist.xyz/images/Defult/Defult.png,59,1476-11-22 13:32:24,Long-Term
l1414,พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม,Training,l1414, , ,320000,260000,250000,280000,66.66667,12.0,0,0.0,139x139,น.ส.3,ยางมะตอย,4 เมตร,ต่ำกว่าถนน,1.2, ,20.050541924516825,99.87958277649868,ว่าง, , ,เชียงราย,พาน,แม่อ้อ,57120,127.0, ,127, ,127,เจ้าของ, ,0,0,0,0,0,1,0, , ,5,ยังไม่ขาย,https://landvist.xyz/images/Defult/Defult.png,63,1476-11-17 08:25:05,Long-Term
l1555,พื้นที่สีเหลือง - ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย,บ้านเชียงราย,ก153บ3,น.ส.3,193,1000000,860000,930000,900000,5000.0,0.0,1,20.0,4*3,152346,คอนกรีต,1 เลน,สูงกว่าถนน,0.5,-,20.041728000000006,99.8426237,จำนอง,ไม่มี,111,กระบี่,คลองท่อม,คลองท่อมเหนือ,81120,10.0,เจ้าของ,11,นายหน้า,10,เจ้าของ, ,1,0,0,0,0,0,0,ไม่บอก,0,10,ยังไม่ขาย,https://landvist.xyz/images/img_1568552965897.jpg,29,1476-09-15 10:51:33,Long-Term
l1570,พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย,ที่ดิน วัดบัวโรย บางเสาธง สมุทรปราการ,l1570, ,215648,2100000,2120000,2160000,2100000,7000.0,0.0,0,300.0,30*35,น.ส.4จ.,คอนกรีต,4 เมตร,ต่ำกว่าถนน,0.3,"ขายที่ดิน 3งาน ติดถนน มีไฟฟ้า น้ำปะปาผ่าน ที่สวยมาก เจ้าของขายเอง ห่างจากโรงพยาบาล 500เมตร เข้าออกสะดวก ห่างจากมอเตอร์เวย์ประมาณ 1กิโลเมตร อากาศดี เหมาะแก่การพักอาศัย งานละ 680,000บาท",13.5806557,100.78921660000003,ว่าง,ห่างจากโรงพยาบาล 500เมตร,"บางเสาธง, สมุทรปราการ, ไทย, 10540",สมุทรปราการ,บางเสาธง,บางเสาธง,10540,127.0, ,127, ,127,เจ้าของ, ,0,0,0,0,0,0,1,ใกล้ โรงพยาบาล,0,6,ยังไม่ขาย,https://landvist.xyz/images/img_1575919922568.jpg,38,1476-12-07 13:45:41,Long-Term
l1621,พื่นที่สีเหลือง - ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย,ที่ดินใกล้ตลาด, , ,500000,500000,4500000,4500000,4430000,0.0,60.0,20,300.0, ,น.ส.4จ.,อื่นๆ,4 เมตร,ต่ำกว่าถนน,0.3, ,20.0464415,99.89256800000001,-เลือก-, , ,ขอนแก่น,บ้านฝาง,บ้านฝาง,40270,127.0,เจ้าของ,127,เจ้าของ,127,เจ้าของ, ,0,1,1,1,0,0,0,0,0,6, ,https://landvist.xyz/images/Defult/Defult.png,29,1476-12-03 11:57:03,Long-Term
l1712,พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม,บ้านพร้อมที่ดินเลาขวัญ หรืออู่ทอง ติดถนนหลวง ,l1712, ,3729503,8160000,10000000,10000000,8500000,400.0,51.0,0,0.0,285*285,น.ส.3,ยางมะตอย,4 เมตร,ต่ำกว่าถนน,0.1,บ้านพร้อมที่ดินเลาขวัญ หรืออู่ทอง ติดถนนหลวง เหมาะทำเกษตรพอเพียง น้ำไฟพร้อม,14.377092999999999,99.89353559999996,ว่าง,อยู่ตรงแยกโป่งไหม ห่างไป 2.5 กิโล เป็นที่ดินท,110,สุพรรณบุรี,อู่ทอง,อู่ทอง,72160,127.0, ,127, ,127,นายหน้า, ,0,0,0,0,0,1,0, ,0,3,ยังไม่ขาย,https://landvist.xyz/images/Defult/Defult.png,59,1476-11-18 10:59:22,Long-Term
l2283,พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง,ขายที่ดินจัดสรร ใกล้สนามบิน แปลงที่ 14,l2283, , ,1014000,0,0,0,6000.0,0.0,0,169.0,21*34,น.ส.3ก.,คอนกรีต,8 เมตร,สูงกว่าถนน,0.0, ,19.955278,99.891194,ฝากขาย,สนามบินเชียงราย,บ้านดู่,เชียงราย,เมืองเชียงราย,บ้านดู่,57100,796859.0, ,796859, ,796859,นายหน้า, ,0,1,0,0,1,1,1, ,0,0,ยังไม่ขาย,https://landvist.xyz/images/Defult/Defult.png,79,1457-01-01 17:00:00,Short-Term
l2366,พื้นที่สีขาวมีกรอบและเส้นทะแยงสีเขียว – ที่ดินประเภทอนุรักษ์ชนบทและเกษตรกรรม,ขายถูกที่สุด ที่สวยติดคลอง 2 ด้าน สวนยาง 6-2-,l2366, ,650,6270000,5900000,6000000,6500000,2374.10072,6.0,2,41.0,70*150,น.ส.3,โคลน,4 เมตร,ต่ำกว่าถนน,0.1,"ที่ดินสวยริมคลอง 2 ด้าน 6-2-41 ไร่ (2,641 ตรว.) เป็นสวนยางอายุ 9 ปี กรีดได้แล้ว ด้านหน้าติดถนนกว้าง 70 เมตร ด้านข้างและด้านหลังติดริมคลองตลอดแนว ด้านขวาติดสวนยาง ส่วนที่ติดลำคลองนี้มีฝายทดน้ำ มีน้ำใช้ตลอดปี",12.769373,101.29147690000002,ว่าง,- ทำเลบ้านค่าย จากสี่แยกบางบุตร 3 กม. - จาก อ,บ้านค่าย-วังจันทร์,ระยอง,บ้านค่าย,บ้านค่าย,21120,127.0, ,127, ,127,นายหน้า, ,0,0,1,1,1,0,1, , ,9,ยังไม่ขาย,https://landvist.xyz/images/Defult/Defult.png,59,2019-11-18 19:18:42,Long-Term
