ID_Property	PropertyType	SellPrice	CostestimateB	MarketPrice	BathRoom	BedRoom	CarPark	HouseArea	Floor	LandR	LandG	LandWA	HomeCondition	BuildingAge	BuildFY	RoadType	RoadWide	AsseStatus	LProvince	LAmphur	LDistrict	LZipCode	ContactS	Blind	Neareducation	Cenmarket	Market	River	Mainroad	Insoi	airconditioner	afan	AirPurifier	Waterheater	WIFI	TV	refrigerator	microwave	gasstove	wardrobe	TCset	sofa	bed	shelves	CCTV	Securityguard	pool	Fitness	Publicarea	ShuttleBus	WVmachine	CWmachine	Elevator	Lobby	ATM	BeautySalon	Balcony	EventR	MeetingR	LivingR	Hairsalon	Laundry	Store	Supermarket	CStore	MFee	Kitchen	PPStatus	Owner	UserType
c9037	คอนโด	1520000	1900000	1860000	1	1	1	31	2				ใหม่	5	2557	คอนกรีต	4 เมตร	ว่าง	เชียงราย	เมืองเชียงราย	รอบเวียง	57000	นายหน้า	0	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	1	5000	0		51	ระยะสั้น
c9469	คอนโด	4110000	5000000	4500000	2	2	1	45	12				มือสอง	13	2549	คอนกรีต	4 เมตร	ขายฝาก	ระยอง	เมืองระยอง	ท่าประดู่	21000	นายหน้า	0	1	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	1	1370	1	ยังไม่ขาย	59	ระยะสั้น
c9617	คอนโด	6868500	7000000	10000000	2	3	2	49	11				ใหม่	2	2560	คอนกรีต	8 เมตร	ว่าง	กรุงเทพมหานคร	เขตพระนคร	วัดสามพระยา	10200	นายหน้า	0	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	2800	1	ยังไม่ขาย	59	ระยะสั้น
h0056	บ้าน	3000000	4000000	5000000	3	3	2	300	2	0	3	90	มือสอง	17	2545	คอนกรีต	1 เมตร	ว่าง	เชียงราย	เมืองเชียงราย	ดอยฮาง	57000	นายหน้า	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		48	ระยะสั้น
h1402	บ้าน	83000	90000	85000	1	2	0	835	0				มือสอง	70	2492	โคลน	1 เมตร	จำนอง	ยโสธร	ค้อวัง	น้ำอ้อม	35160	นายหน้า	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	ยังไม่ขาย	62	ระยะสั้น
h1687	บ้าน	200000	200000	200000	1	1	1	20	2	20	20	20	มือสอง	2	2560	ยางมะตอย	2 เมตร	จำนอง	กรุงเทพมหานคร	เขตหนองจอก	คลองสิบสอง	10530	เจ้าของ	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	ยังไม่ขาย	27	ระยะสั้น
h1808	บ้าน	1000000	1000000	1000000	1	2	1	30	1	0	0	30	ใหม่	2	2560	คอนกรีต	8 เมตร	ฝากขาย	เชียงราย	เมืองเชียงราย	ริมกก	57100		0	0	0	0	0	1	0	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		27	ระยะสั้น
h2025	บ้าน	1000000	2000000	1000000	2	3	1	400	2	0	3	100	มือสอง	14	2548	โคลน	2 เมตร	ว่าง	เชียงราย	เวียงเชียงรุ้ง	ทุ่งก่อ	57210	นายหน้า	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		49	ระยะสั้น
h2160	บ้าน	2235000	3000000	2500000	2	3	2	920	2	0	2	30	มือสอง	18	2544	คอนกรีต	4 เมตร	ว่าง	ยะลา	เมืองยะลา	สะเตง	95000	นายหน้า	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	ยังไม่ขาย	59	ระยะสั้น
h3214	บ้าน	5500000	2508000	4000000	3	3	2	100	2	0	0	66	ใหม่	2	2560	คอนกรีต	4 เมตร	ว่าง	เชียงราย	เมืองเชียงราย	ริมกก	57100	นายหน้า	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	ยังไม่ขาย	59	ระยะสั้น
h3975	บ้าน	2085000	3000000	2400000	2	3	2	856	2	0	2	14	มือสอง	16	2546	คอนกรีต	8 เมตร	ว่าง	บึงกาฬ	ปากคาด	นากั้ง	38190	นายหน้า	0	1	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	ยังไม่ขาย	59	ระยะสั้น
h4284	บ้าน	3900000	4000000	3500000	2	3	1	196	2	78	0	0	บ้านเก่า		2550	อื่นๆ	4 เมตร	จำนอง	เชียงราย	แม่จัน	ป่าตึง	57110	นายหน้า	127	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		46	ระยะสั้น
h5484	บ้าน	2000000	2000000	3000000	2	3	1	200	1	0	0	60	มือสอง	27	2535	คอนกรีต	2 เมตร	จำนอง	เชียงราย	เมืองเชียงราย	ท่าสุด	57100	นายหน้า	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		51	ระยะสั้น
h6098	บ้าน	2000000	3000000	2000000	3	3	2	100	2	0	0	25	มือสอง	6	2556	คอนกรีต	8 เมตร	ฝากขาย	เชียงราย	เมืองเชียงราย	รอบเวียง	57000		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		39	ระยะสั้น
h7095	บ้าน	2000000	3000000	2000000	3	3	1	240	1	0	0	60	ใหม่	3	2559	คอนกรีต	8 เมตร	ฝากขาย	เชียงราย	เมืองเชียงราย	รอบเวียง	57000		0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		39	ระยะสั้น
h7587	บ้าน	2000000	3000000	4000000	2	2	1	129	1	0	0	82	มือสอง	11	2551	ดินแดง	2 เมตร	ขายฝาก	เชียงราย	เมืองเชียงราย	ห้วยสัก	57000	นายหน้า	0	0	1	1	0	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		48	ระยะสั้น
h7993	บ้าน	2000000	3000000	2000000	2	3	1	200	1	0	0	60	มือสอง	34	2528	คอนกรีต	2 เมตร	ว่าง	เชียงราย	เมืองเชียงราย	ท่าสาย	57000	นายหน้า	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		51	ระยะสั้น
h8231	บ้าน	4000000	5000000	4000000	2	3	2	113	2			52	มือสอง	4	2558	คอนกรีต	2 เมตร	ว่าง	สมุทรปราการ	บางพลี	บางพลีใหญ่	10540	นายหน้า	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		46	ระยะสั้น
h8688	บ้าน	2000000	2400000	2300000	2	3	1	51	1	0	0	51	มือสอง	4	2558	คอนกรีต	4 เมตร	ว่าง	สมุทรปราการ	บางพลี	บางพลีใหญ่	10540	เจ้าของ	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		38	ระยะสั้น
h8751	บ้าน	2000000	2300000	2500000	2	4	1	116	2	0	0	30	มือสอง	21	2541	คอนกรีต		ว่าง	สมุทรปราการ	พระสมุทรเจดีย์	ในคลองบางปลากด	10290		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		46	ระยะสั้น
h8993	บ้าน	4500000	4300000	4400000	4	3	2	400	1	3	0	200	มือสอง	2	2560	โคลน	4 เมตร	ว่าง	เชียงราย	เวียงชัย	เวียงชัย	57210	เจ้าของ	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	ยังไม่ขาย	38	ระยะสั้น
h9101	บ้าน	1000000	1500000	1700000	1	2	1	156	1	0	0	39	มือสอง	10	2552	คอนกรีต	4 เมตร	ฝากขาย	เชียงราย	เมืองเชียงราย	รอบเวียง	57000		0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		39	ระยะสั้น
h9347	บ้าน	1000000	1400000	2000000	2	2	2	120	1	0	0	70	ใหม่	0	2562	คอนกรีต	2 เลน	ว่าง	45	657	5875			0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		30	ระยะสั้น
h9527	บ้าน	2000000	2400000	1800000	3	3	1	336	1	0	0	84	ใหม่	4	2558	คอนกรีต	8 เมตร	ฝากขาย	เชียงราย	แม่สาย	เวียงพางคำ	57130		0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		39	ระยะสั้น
p0140	อาคารพาณิชย์	4900000	5000000	5200000	4	3	1	162	3	0	0	20	มือสอง	22	2540			ว่าง	เชียงราย	เมืองเชียงราย	ริมกก	57100	นายหน้า	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		51	ระยะสั้น
p1840	อาคารพาณิชย์	5175000	5000000	5500000	2	3	2	300	3				มือสอง	10	2552	ยางมะตอย	4 เมตร	ฝากขาย	สระบุรี	เมืองสระบุรี	ปากเพรียว	18000	เจ้าของ	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	200	0	ยังไม่ขาย	59	ระยะสั้น
c0358	คอนโด	1180000	116000	11160000	1	1	1	40	5				มือสอง	9	2553	คอนกรีต	4 เมตร	ว่าง	ตราด	เมืองตราด	บางพระ	23000	นายหน้า	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	700	1	ยังไม่ขาย	59	ระยะยาว
c0373	คอนโด	2451400	2500000	2400000	1	1	0	0	50				ใหม่	1	2561	คอนกรีต		ว่าง	กรุงเทพมหานคร	เขตพญาไท	*ถนนพญาไท		นายหน้า	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0		1		29	ระยะยาว
c0705	คอนโด	3825000	3900000	3850000	2	2	0	44	6				มือสอง	11	2551	คอนกรีต	8 เมตร	จำนอง	สมุทรปราการ	เมืองสมุทรปราการ	ปากน้ำ	10270	นายหน้า	0	1	1	1	0	1	0	1	0	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	1	1270	1	ยังไม่ขาย	59	ระยะยาว
c0912	คอนโด	4017000	3000000	4000000	2	2	2	31	14				มือสอง	12	2550	คอนกรีต	8 เมตร	ว่าง	นนทบุรี	บางกรวย	วัดชลอ	11130	นายหน้า	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	1	0	0	1	0	1	1	0	1	133	1	ยังไม่ขาย	59	ระยะยาว
c1058	คอนโด	1490000	1500000	1600000	1	1	1	30	6				ใหม่	3	2559	คอนกรีต	8 เมตร	ว่าง	เชียงราย	เมืองเชียงราย	บ้านดู่	57100	นายหน้า	0	1	1	0	0	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	1	11000	1		29	ระยะยาว
c1401	คอนโด	1750000	1800000	1800000	1	1	1	30	5				ใหม่	4	2558	คอนกรีต	4 เมตร	ว่าง	เชียงราย	เมืองเชียงราย	รอบเวียง	57000	นายหน้า	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	0	0	1	0	1	1	1	1	5000	1		29	ระยะยาว
c1637	คอนโด	1799000	1600000	1680000	2	3	2	11049	4				มือสอง	12	2550	ยางมะตอย	4 เมตร	ว่าง	ลำพูน	ป่าซาง	ปากบ่อง	51120	นายหน้า	0	1	0	1	0	1	0	1	0	0	1	1	0	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0		1	ยังไม่ขาย	62	ระยะยาว
c2651	คอนโด	4077000	3500000	4100000	2	2	0	36	3				มือสอง	11	2551	คอนกรีต	4 เมตร	ขายฝาก	พระนครศรีอยุธยา	พระนครศรีอยุธยา	ประตูชัย	13000	นายหน้า	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	1	100	1	ยังไม่ขาย	59	ระยะยาว
c2837	คอนโด	1050000	1140000	1130000	1	1	1	35	5				มือสอง	18	2544	ยางมะตอย	4 เมตร	ว่าง	เชียงราย	เมืองเชียงราย	รอบเวียง	57000	นายหน้า	0	1	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1	300	0		51	ระยะยาว
c6030	คอนโด	118000	120000	115000	1	2	1	1077	2		50	1	ใหม่	11	2551	ยางมะตอย	2 เมตร	ว่าง	ลำพูน	ป่าซาง	นครเจดีย์	51120	นายหน้า	0	0	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0		1	ยังไม่ขาย	62	ระยะยาว
c6241	คอนโด	1900000	2000000	1950000	1	1	1	30	5				มือสอง	12	2550			ว่าง	เชียงราย	เมืองเชียงราย	ริมกก	57100	นายหน้า	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0		51	ระยะยาว
c6327	คอนโด	1000000	1200000	1000000	1	1	0	34	2				ใหม่	7	2555	คอนกรีต	4 เมตร	ว่าง	เชียงราย	เมืองเชียงราย	ริมกก	57100	นายหน้า	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0	1	0	0	1	0	1	1	1	1	1000	0		49	ระยะยาว
c6591	คอนโด	1000000	1100000	1050000	1	1	1	30	5				ใหม่	6	2556	คอนกรีต	4 เมตร	ว่าง	เชียงราย	เมืองเชียงราย	รอบเวียง	57000	นายหน้า	0	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	0	1	1	0	1	5000	1		48	ระยะยาว
c7254	คอนโด	2300000	2300000	2320000	1	1	1	39.3	ทั้งตึก				มือสอง	6	2556	คอนกรีต	8 เมตร	ว่าง	กรุงเทพมหานคร	เขตบางกะปิ	หัวหมาก	10240	เจ้าของ	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	1		38	ระยะยาว
c8242	คอนโด	1400000	1500000	1580000	0	0	0	0	0				มือสอง	7	2555			ว่าง	เชียงราย	เมืองเชียงราย	บ้านดู่	57100	เจ้าของ	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		53	ระยะยาว
c8516	คอนโด	1830000	1920000	1790000	1	1	1	30	5				ใหม่	6	2556	คอนกรีต	4 เมตร	ว่าง	เชียงราย	เมืองเชียงราย	บ้านดู่	57100	นายหน้า	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	0	1	0	1	900	1		48	ระยะยาว
c8835	คอนโด	1980000	2000000	2030000	1	1	1	100	5				มือสอง	7	2555	คอนกรีต	4 เมตร	ว่าง	เชียงราย	เมืองเชียงราย	บ้านดู่	57100	นายหน้า	0	1	1	0	0	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	0	0	1	0	0	1	1	1	1000	1		48	ระยะยาว
c9151	คอนโด	3390000	4000000	3500000	1	1	0	36	10				ใหม่	2	2560	คอนกรีต	4 เมตร	ว่าง	นนทบุรี	เมืองนนทบุรี	สวนใหญ่	11000	นายหน้า	0	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	1	1180	1	ยังไม่ขาย	59	ระยะยาว
c9501	คอนโด	1000000	2000000	1000000	1	1	1	29	5				ใหม่	5	2557	คอนกรีต	4 เมตร	ว่าง	เชียงราย	เมืองเชียงราย	ริมกก	57100	นายหน้า	0	1	1	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	500	1		49	ระยะยาว
c9591	คอนโด	2000000	2000000	2000000	1	1	1	30	5				ใหม่	5	2557	คอนกรีต	4 เมตร	ว่าง	เชียงราย	เมืองเชียงราย	รอบเวียง	57000	นายหน้า	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	0	1	3000	1		48	ระยะยาว
h0108	บ้าน	4000000	4000000	4000000	2	3	1	202.05	2	0	3	36.7	มือสอง	3	2559	คอนกรีต	4 เมตร	ว่าง	นนทบุรี	บางบัวทอง	บางบัวทอง	11110	เจ้าของ	0	0	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		38	ระยะยาว
h0544	บ้าน	1000000	1000000	1000000	2	2	1	60.2	2	0	0	60.2	ใหม่	1	2561	คอนกรีต	4 เมตร	ขายฝาก	ปทุมธานี	หนองเสือ	บึงบา	12170	นายหน้า	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		38	ระยะยาว
h0817	บ้าน	2000000	2400000	2100000	2	3	2	200	2	0	0	60	ใหม่	1	2561	คอนกรีต		ว่าง	กรุงเทพมหานคร	เขตบางกะปิ	*ลาดพร้าว		เจ้าของ	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	ยังไม่ขาย	29	ระยะยาว
h1193	บ้าน	7000000	6000000	6000000	2	3	2	150	2	0	1	50	มือสอง	11	2551	คอนกรีต	4 เมตร	จำนอง	เชียงราย	เมืองเชียงราย	บ้านดู่	57100	นายหน้า	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		48	ระยะยาว
h1426	บ้าน	6000000	5500000	5000000	2	3	1	983	2	0	2	77	มือสอง	10	2552	ยางมะตอย	8 เมตร	ว่าง	อุทัยธานี	เมืองอุทัยธานี	น้ำซึม	61000	เจ้าของ	0	1	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	ยังไม่ขาย	59	ระยะยาว
h1571	บ้าน	8000000	8000000	8000000	3	3	4	500	2	0	3	100	มือสอง	18	2544	คอนกรีต	2 เมตร	จำนอง	เชียงราย	เมืองเชียงราย	รอบเวียง	57000	นายหน้า	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		51	ระยะยาว
h1977	บ้าน	6980000	6800000	6990000	3	4	2	305	1	0	1	28	ใหม่	1	2561	คอนกรีต	8 เมตร	ว่าง	เชียงใหม่	หางดง	หางดง	50230	เจ้าของ	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	ยังไม่ขาย	38	ระยะยาว
h2037	บ้าน	2470000	2500000	2300000	2	3	4	257	1	0	0	64	ใหม่	1	2561	คอนกรีต	4 เมตร	ว่าง	เชียงราย	เมืองเชียงราย	บ้านดู่	57100	นายหน้า	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	ยังไม่ขาย	59	ระยะยาว
