ID_Lands	ColorType	AnnounceTH	CodeDeed	TypeCode	CodeProperty	SellPrice	Costestimate	CostestimateB	MarketPrice	PriceWA	LandR	LandG	LandWA	Land	Deed	RoadType	RoadWide	GroundLevel	GroundValue	MoreDetails	Latitude	Longitude	AsseStatus	ObservationPoint	Location	LProvince	LAmphur	LDistrict	LZipCode	ContactUo	ContactSo	ContactUt	ContactSt	ContactU	ContactS	Place	Blind	Neareducation	Cenmarket	Market	River	Mainroad	Insoi	Letc	WxD	LandAge	PPStatus	ImageEX	Owner	Created	UserType
l0858	พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง	เสนอขายที่ดินติดถนนสายเอเชีย จำนวน 22-2-18? ไ	l0858	 	745	7500000	8000000	8000000	7000000	831.66999	22	2	18	180*200.4	น.ส.4จ.	ยางมะตอย	12 เมตร	ต่ำกว่าถนน	0.5	-	14.3171253	100.612629	ว่าง	อยู่ฝั่งขาออกกรุงเทพ ระหว่างปากทางเข้า อยุธยา	-	พระนครศรีอยุธยา	บางปะอิน	บ้านกรด	13160	127	 	127	 	127	นายหน้า	 	0	0	0	0	0	1	0/1/1900 0:00	 	 	5	ยังไม่ขาย	Defult/Defult.png	59	22/11/2019 10:55	Long-term
l0890	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	ขายที่ดินติดถนนใหญ่ ลำพูน-สันป่าตอง(ทางหลวง 1	l0890	 	147	790000	800000	800000	850000	3278.0083	0	2	41	67*14.38	น.ส.4จ.	ยางมะตอย	8 เมตร	ต่ำกว่าถนน	0.5	เป็นถนนเส้นหลักที่เชื่อมต่อระหว่างลำพูนไปสันป่าตอง	18.6311602	98.8987217	ว่าง	ห่างจากที่ว่าการอำเภอเมืองลำพูน 21 กม.หรือ 24	ลำพูน-สันป่าตอง(ทางหลวง 116) 	เชียงใหม่	สันป่าตอง	ท่าวังพร้าว	50120	127	 	127	 	127	นายหน้า	 	0	0	0	1	0	1	0	 	 	5	ยังไม่ขาย	Defult/Defult.png	59	22/11/2019 11:03	Long-term
l0893	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	ขายที่ดินเชียงราย หลายแปลง หลายพื้นที่ แบ่งขา	l0893	 	3803270	10000000	11000000	10500000	10000000	13	200	3	64	12*10	น.ส.2	โคลน	 	สูงกว่าถนน	0.5	 	19.9828809	99.8426237	ฝากขาย	 	 	เชียงราย	เมืองเชียงราย	บ้านดู่	57100	N/A	 	N/A	 	N/A	เจ้าของ	 	0	0/1/1900 0:00	0	0	0	0	1	 	 	3	 	img_1569591816396.jpg	29	27/9/2019 13:43	Long-term
l1045	พื้นที่สีเม็ดมะปราง – ที่ดินประเภทคลังสินค้า	ที่ดิน	l1045	 	9854100	18500000	19600000	19700000	19800000	990.09901	20	120	200	10*10	น.ส.4จ.	โคลน	12 เมตร	สูงกว่าถนน	1	 	13.8255881	100.6787954	ว่าง	การคลัง	111/8	กรุงเทพมหานคร	เขตพระนคร	วังบูรพาภิรมย์	10200	127	 	127	 	127	เจ้าของ	 	1	1	0	0	0	0/1/1900 0:00	0	 	 	1998	ยังไม่ขาย	img_1575052123362.jpg	60	29/11/2019 18:28	Short-Term
l1198	พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง	ที่ดิน - หนองแขม กรุงเทพมหานคร	l1198	 	353354	1490000	1490000	1480000	1500000	24833.33333	0	0	60	12*20	น.ส.3	คอนกรีต	4 เมตร	สูงกว่าถนน	0.3	ที่ดิน 60 ตรว. ราคาถูก!! -เจ้าของโพสต์ขายเองไม่ผ่านนายหน้า -ขายที่ดินเปล่า แปลงสวย 60 ตร.ว.	13.7054329	100.3432355	ว่าง	 	"หนองแขม, กรุงเทพมหานคร"	กรุงเทพมหานคร	เขตหนองแขม	หนองแขม	10160	127	 	127	 	127	เจ้าของ	 	0	0	0	0	0	0	1/1/1900 0:00	 	 	5	ยังไม่ขาย	img_1575964821281.jpg	38	4/12/2019 23:56	Short-Term
l1284	พื้นที่สีม่วง – ที่ดินประเภทอุตสาหกรรมและคลังสินค้า	ขายที่ดิน ชลบุรี ใกล้นิคมอุตสาหกรรม 11-0-29 ไ	l1284	 	314	21000000	25000000	25000000	20000000	4741.47663	11	0	29	79*318	น.ส.4จ.	โคลน	2 เมตร	ต่ำกว่าถนน	0.5	ที่ดินแปลงนี้อยู่ในขอบเขตรัศมีแนวเส้นทางวงแหวนที่ส ามารถเชื่อมต่อไปยังนิคมอุตสาหกรรมที่สำคัญต่างๆอย่า งมากมาย	13.4624661	101.1447493	ว่าง	ที่ดินผืนนี้อยู่ริมถนน ซึ่งกำลังจะทำเป็นคอนกร	1 พนัส-พานทอง	ชลบุรี	พนัสนิคม	หน้าพระธาตุ	20140	127	 	127	 	127	นายหน้า	 	0	0	0	0	1	0	1	 	 	5	ยังไม่ขาย	Defult/Defult.png	59	22/11/2019 17:46	Long-term
l1378	พื้นที่สีม่วง – ที่ดินประเภทอุตสาหกรรมและคลังสินค้า	ขายที่ดินอำเภอสำโรง(อุบล)ติดถนนใหญ่เมือง-สำโร	l1378	 	564	38750000	40000000	40000000	39000000	6191.08484	15	2	59	68*275	น.ส.2	ยางมะตอย	12 เมตร	ต่ำกว่าถนน	0.5	ขายที่ดินติดถนนใหญ่4เลน(2178) เมืองอุบล-สำโรง อยู่ในเขตโรงงานอุตสาหกรรม ข้างโรงเรียนบ้านบอน	N/A	N/A	ว่าง	ติดกับโรงเรียนบ้านบอน ห่างจากโรงพยาบาลสำโรงเพ	ถนนใหญ่(2178) เมืองอุบล-สำโรง 	อุบลราชธานี	สำโรง	โนนกาเล็น	34360	127	 	127	 	127	นายหน้า	 	0	1	0	0	0	1	0/1/1900 0:00	 	 	5	ยังไม่ขาย	Defult/Defult.png	59	22/11/2019 10:27	Long-term
l1414	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	Training	l1414	 	 	320000	260000	250000	280000	66.66667	12	0	0	139x139	น.ส.3	ยางมะตอย	4 เมตร	ต่ำกว่าถนน	1.2	 	20.05054192	99.87958278	ว่าง	 	 	เชียงราย	พาน	แม่อ้อ	57120	127	 	127	 	127	เจ้าของ	 	0	0	0/1/1900 0:00	0	0	1	0	 	 	5	ยังไม่ขาย	Defult/Defult.png	63	17/11/2019 15:34	Long-term
l1555	พื้นที่สีเหลือง - ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	บ้านเชียงราย	ก153บ3	น.ส.3	193	1000000	860000	930000	900000	5000	0	1	20	4*3	152346	คอนกรีต	1 เลน	สูงกว่าถนน	0.5	-	20.041728	99.8426237	จำนอง	ไม่มี	111	กระบี่	คลองท่อม	คลองท่อมเหนือ	81120	10	เจ้าของ	11	นายหน้า	10	เจ้าของ	 	1	0	0	0	0	0	0	ไม่บอก	0	10	ยังไม่ขาย	img_1568552965897.jpg	29	15/9/2019 13:08	Long-term
l1570	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	ที่ดิน วัดบัวโรย บางเสาธง สมุทรปราการ	l1570	 	215648	2100000	2120000	2160000	2100000	7000	0	0	300	30*35	น.ส.4จ.	คอนกรีต	4 เมตร	ต่ำกว่าถนน	0.3	"ขายที่ดิน 3งาน ติดถนน มีไฟฟ้า น้ำปะปาผ่าน ที่สวยมาก เจ้าของขายเอง ห่างจากโรงพยาบาล 500เมตร เข้าออกสะดวก ห่างจากมอเตอร์เวย์ประมาณ 1กิโลเมตร อากาศดี เหมาะแก่การพักอาศัย งานละ 680,000บาท"	13.5806557	100.7892166	ว่าง	ห่างจากโรงพยาบาล 500เมตร	"บางเสาธง, สมุทรปราการ, ไทย, 10540"	สมุทรปราการ	บางเสาธง	บางเสาธง	10540	127	 	127	 	127	เจ้าของ	 	0	0	0	0	0	0	1	ใกล้ โรงพยาบาล	 	6	ยังไม่ขาย	img_1575919922568.jpg	38	7/12/2019 10:14	Long-term
l1621	พื่นที่สีเหลือง - ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	ที่ดินใกล้ตลาด	 	 	5000000	5000000	4500000	4500000	4430000	0	60	20	 	 	NULL	อื่นๆ	4 เมตร	สูงกว่าถนน	 	 	20.0464415	99.892568	-เลือก-	 	 	ขอนแก่น	บ้านฝาง	บ้านฝาง	40270	127	เจ้าของ	127	เจ้าของ	127	เจ้าของ	 	0	1/1/1900 0:00	1	1	0	0	0	0	0	 	 	Defult/Defult.png	29	3/12/2019 12:02	Long-term
l1712	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	บ้านพร้อมที่ดินเลาขวัญ หรืออู่ทอง ติดถนนหลวง 	l1712	 	3729503	8160000	10000000	10000000	8500000	400	51	0	0	285*285	น.ส.3	ยางมะตอย	4 เมตร	ต่ำกว่าถนน	0.1	บ้านพร้อมที่ดินเลาขวัญ หรืออู่ทอง ติดถนนหลวง เหมาะทำเกษตรพอเพียง น้ำไฟพร้อม	14.377093	99.8935356	ว่าง	อยู่ตรงแยกโป่งไหม ห่างไป 2.5 กิโล เป็นที่ดินท	110	สุพรรณบุรี	อู่ทอง	อู่ทอง	72160	127	 	127	 	127	นายหน้า	 	0	0	0	0	0	1	0/1/1900 0:00	 	 	3	ยังไม่ขาย	Defult/Defult.png	59	18/11/2019 13:00	Short-Term
l2366	พื้นที่สีขาวมีกรอบและเส้นทะแยงสีเขียว – ที่ดินประเภทอนุรักษ์ชนบทและเกษตรกรรม	ขายถูกที่สุด ที่สวยติดคลอง 2 ด้าน สวนยาง 6-2-	l2366	 	650	6270000	5900000	6000000	6500000	2374.10072	6	2	41	70*150	น.ส.3	โคลน	4 เมตร	ต่ำกว่าถนน	0.1	"ที่ดินสวยริมคลอง 2 ด้าน 6-2-41 ไร่ (2,641 ตรว.) เป็นสวนยางอายุ 9 ปี กรีดได้แล้ว ด้านหน้าติดถนนกว้าง 70 เมตร ด้านข้างและด้านหลังติดริมคลองตลอดแนว ด้านขวาติดสวนยาง ส่วนที่ติดลำคลองนี้มีฝายทดน้ำ มีน้ำใช้ตลอดปี"	12.769373	101.2914769	ว่าง	- ทำเลบ้านค่าย จากสี่แยกบางบุตร 3 กม. - จาก อ	บ้านค่าย-วังจันทร์	ระยอง	บ้านค่าย	บ้านค่าย	21120	127	 	127	 	127	นายหน้า	 	0	0	1	1	1	0	1	 	 	9	ยังไม่ขาย	Defult/Defult.png	59	18/11/2019 19:18	Long-term
l2872	พื้นที่สีน้ำตาล – ที่ดินประเภทที่อยู่อาศัยหนาแน่นมาก	ที่ดินเปล่าหมู่บ้านชัยพฤกษ์	l2872	 	452	1800000	2000000	2000000	2500000	15000	0	1	20	24*20	น.ส.3	คอนกรีต	8 เมตร	สูงกว่าถนน	0.2	 พื้นที่รวม 120 ตารางวา บรรยากาศที่ตั้งทรัพย์สินร่มรื่นเงียบสงบ ตั้งอยู่ซอย 42/3 ถนนด้านหน้ากว้าง 6 เมตร ภายในโครงการมีนิติบุคคลหมู่บ้านดูแลรับผิดชอบอย่างด ี มีพื้นที่ส่วนกลางพร้อม อาทิเช่น สนามเด็กเล่น และ สระว่ายน้ำ ด้านพื้นถนนในโครงการสะอาดเรียบร้อย เป็นถนน 4 เลน กว้างประมาณ 12 เมตร	13.8886876	100.408559	ว่าง	 	ซ.วัดลาดปลาดุก ถ.ทางหลวงชนบท	นนทบุรี	บางบัวทอง	บางรักพัฒนา	11110	127	 	127	นายหน้า	127	เจ้าของ	 	0	0	0	0	0	0	1	 	 	3	ยังไม่ขาย	Defult/Defult.png	59	22/11/2019 5:09	Short-Term
l2873	พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง	ขายที่ดินแปลงสวยราคาถูก ทำเลฮวงจุ้ยดี ที่ดินซ	l2873	 	142	13475000	15000000	15000000	20000000	49000	0	2	75	32*38	น.ส.4จ.	คอนกรีต	4 เมตร	สูงกว่าถนน	0.1	 บรรยากาศดีติดสวน เหมาะสำหรับสร้างบ้านพักอาศัยและออฟฟิศ บริเวณใกล้เคียงมีบ้านเรือนอยู่หลายหลัง และหมู่บ้านจัดสรร ใกล้แหล่งความเจริญรถไฟฟ้า MRT สถานนีไทรม้า ชุมชนกำลังขยายมีหมู่บ้านจัดสรรโครงการ AP. เข้ามาสร้างบ้านขายแล้ว บ้านเดียวขายหลังละเจ็ดแปดล้าน ทาวน์โฮมขายหลังละสองสามล้าน ท้ายซอยกำลังสร้างสะพานข้ามคลองอ้อมออกสะพานเจษฏาบดิ นทร์ฯถนนกรุงเทพ-นนทบรี ราชพฤกษ์	13.8664449	100.4673572	ว่าง	รถไฟฟ้า MRT สถานนีไทรม้า  ใกล้ห้างเซ็นทรัลเวส	17 ซอย บ้านไทรม้า	นนทบุรี	เมืองนนทบุรี	ไทรม้า	11000	127	 	127	 	127	เจ้าของ	 	0	1	1	1	0	0	1/1/1900 0:00	 	 	 	ยังไม่ขาย	Defult/Defult.png	59	21/11/2019 8:16	Short-Term
l2999	พื้นที่สีน้ำตาล – ที่ดินประเภทที่อยู่อาศัยหนาแน่นมาก	ขายที่ดินงามวงศ์วานซอย 8 ถมแล้ว	l2999	 	7392229	24900000	32000000	30000000	28000000	92222.22222	0	2	70	32*33	น.ส.2	คอนกรีต	4 เมตร	ต่ำกว่าถนน	0.1	ที่ดินถมแล้วสามารถปลูกที่อยู่อาศัย บ้านพัก หรืออพาร์ทเม้นได้เลย มี 7-11 ใกล้ที่ดินไม่เกิน 150 เมตร ในอนาคตจะมีสถานีรถไฟฟ้าหน้าปากซอย สายสีน้ำตาล จากสถานีศูนย์ราชการนนทบุรี-สถานีแยกลำสาลี สามารถเชื่อมต่อกับสถานีพหลโยธินเพื่อไป เซ็นทรัลลาดพร้าวหรือbts จตุจักร 	13.86098336	100.5400615	ว่าง	-ใกล้พันทิพย์งามวงศวานเพียง 3 นาที -ใกล้โรงพย	1112	นนทบุรี	เมืองนนทบุรี	บางเขน	11000	127	 	127	 	127	เจ้าของ	 	0	1	1	1	0	0	1/1/1900 0:00	 	 	3	ยังไม่ขาย	Defult/Defult.png	59	18/11/2019 18:50	Short-Term
l3083	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	ขายที่ดินเปล่า 2 ไร่ 2 งาน 20 ตารางวา ซอยจริย	l3083	 	555225	15000000	12500000	13000000	14000000	0	2	2	20	63*62	น.ส.3	คอนกรีต	4 เมตร	ต่ำกว่าถนน	0.1	ขายที่ดินเปล่า 2 ไร่ 2 งาน 20 ตารางวา ราคา 20 ล้านบาท ถนนทวีราษฏร์ภักดี เข้าซอยจริยาเพียง 140 เมตร ด้านหน้ากว้าง 62 เมตร ทำเลดี การเดินทางสะดวก มี ร้านสะดวกซื้อ เหมาะนำที่ดินมาพัฒนาทำ รีสอร์ท โรงแรม ร้านอาหาร ที่พักอาศัย อยู่ในแหล่งชุมชน ใกล้แหล่งท่องเที่ยว มีร้านสะดวกซื้อ ห่างจากชายหาดเพียง 350 เมตร ห่างจากท่าเรือหน้าทอน เพียง 7 กม. หันหน้าทิศตะวันตก	9.5638975	99.9838561	ว่าง	"ร้านสะดวกซื้อ 7-Eleven , บางปอซีฟู้ด , ร้านพิ"	1200	สุราษฎร์ธานี	เกาะสมุย	แม่น้ำ	84330	127	 	127	 	127	นายหน้า	 	0	0	0	0	0	0	1	 	 	2	ยังไม่ขาย	Defult/Defult.png	59	18/11/2019 15:55	Long-term
l3113	พื้นที่สีขาวมีกรอบและเส้นทะแยงสีเขียว – ที่ดินประเภทอนุรักษ์ชนบทและเกษตรกรรม	ขายที่ดินติดลำธารแปลงสวย ติดถนนหลัก ที่ดินล้อ	l3113	 	562	13730000	30000000	30000000	50000000	5000	6	3	46	21.968*500	น.ส.2	ยางมะตอย	8 เมตร	สูงกว่าถนน	0.5	 แปลงนี้ต้องทำสะพานเก๋เก๋เชื่อมระหว่างถนนหลักข้ามลำ ธารมายังที่ดินนะคะ	18.9098428	99.2456445	ว่าง	- ด้านหน้าเป็นถนนหลัก 118 เดอยสะเก็ด-เชียงราย	ถนนหลัก 118 ดอยสะเก็ด-เชียงราย	เชียงใหม่	ดอยสะเก็ด	ป่าเมี่ยง	50220	127	 	127	นายหน้า	127	เจ้าของ	 	0	0	1	0	1	1	0	 	 	5	ยังไม่ขาย	Defult/Defult.png	59	22/11/2019 10:45	Short-Term
l3275	พื้นที่สีน้ำตาล – ที่ดินประเภทที่อยู่อาศัยหนาแน่นมาก	ขายที่ดินสวย ซอยชยางกูร เมือง อุบลราชธานี	l3275	 	TK-1944-B42	4400000	4000000	4000000	5000000	16479.40075	0	2	67	37*30	ส.ค.-01	ยางมะตอย	8 เมตร	ต่ำกว่าถนน	0.1	ด้านหลังที่ดินติดคอร์ทแบต เค ที	N/A	N/A	ว่าง	"บิ๊กซี,รร.เดอ พราว,รร เอ็กซ์เซลล่า ตอนกัลปพฤก"	 	อุบลราชธานี	เมืองอุบลราชธานี	ขามใหญ่	34000	127	 	127	 	127	นายหน้า	 	1	0	0	0	0	0	1	 	 	3	ยังไม่ขาย	Defult/Defult.png	59	18/11/2019 19:38	Long-term
l3320	พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง	ที่ดิน4ไร่72ล้าน-04 ทางเข้าม. รังสิต ติดรร. ส	l3320	 	485	72000000	50000000	50000000	70000000	36000	4	3	100	30*214	น.ส.4จ.	คอนกรีต	8 เมตร	สูงกว่าถนน	2	" เหมาะแก่การทำโครงการ ทาวน์โฮม ทาวน์เฮ้าส์ ไม่ต้องเข้าระเบียบจัดสรร โฉนดแบ่งแล้ว 4 แปลงๆละ 1ไร่ สร้างได้ 36หลัง มูลค่าโครงการประมาณ 400ล้าน หรือทำโกดัง , รง.SME."	13.81641805	100.5346534	ฝากขาย	ทางเข้าจากปากซอยเป็นถนน 4 เลน ตรงไปเป็นโรงเรี	ซอยประชาชื่น 16	กรุงเทพมหานคร	เขตบางซื่อ	บางซื่อ	10800	127	 	127	 	127	นายหน้า	 	0	1	1	1	0	0	1	 	 	3	ยังไม่ขาย	Defult/Defult.png	59	21/11/2019 7:50	Long-term
l3359	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	ขายที่ดินเปล่า 2 งาน อ. บ้านไผ่ จ. ขอนแก่น 	l3359	 	785	700000	520000	500000	650000	3500	0	1	100	400*200	น.ส.3ก.	คอนกรีต	1 เมตร	ต่ำกว่าถนน	0.1	ซอยสมมาตรบำรุง เข้าซอยไป 50 เมตร	16.04939449	102.7242114	ว่าง	พุทธญาณสมาคมบ้านไผ่	ซอยสมมาตรบำรุง ถนนสุขาภิบาล	ขอนแก่น	บ้านไผ่	ในเมือง	40110	127	 	127	นายหน้า	127	เจ้าของ	 	0	0	0	0	0	0	1	 	 	2	ยังไม่ขาย	Defult/Defult.png	59	21/11/2019 7:40	Long-term
l3386	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	ที่ดินถมแล้ว 2 ไร่ 88 ตร. วา. จากปากซอย บางบอ	l3386	 	542	15000000	20000000	20000000	15000000	16891.89189	2	0	88	59*59	น.ส.3ก.	ยางมะตอย	4 เมตร	ต่ำกว่าถนน	0.1	#NAME?	13.6592043	100.3991408	ว่าง	- จากปากซอย บางบอน 3 ซอย 3 เข้าไปเพียง 1 กม	ซอยโชคอำนวย3 ถนนเอกชัย 	กรุงเทพมหานคร	เขตบางบอน	บางบอน	10150	127	 	127	 	127	นายหน้า	 	1	0	0	0	0	0	1	 	 	3	ยังไม่ขาย	Defult/Defult.png	59	18/11/2019 20:00	Long-term
